Datetime;STA 6;STA 3;STA 4;STA 1;STA 2;STA 5
2021-01-06T17:56:32+01:00;null;null;-51;-45;null;null
2021-01-06T17:56:33+01:00;null;null;-50;-45;null;null
2021-01-06T17:56:34+01:00;null;null;-50;-44;null;null
2021-01-06T17:56:35+01:00;null;null;-50;-43;null;null
2021-01-06T17:56:36+01:00;null;-50;-50;-42;null;null
2021-01-06T17:56:37+01:00;null;-50;-50;-42;null;null
2021-01-06T17:56:38+01:00;null;-50;-50;-41;-44;null
2021-01-06T17:56:40+01:00;null;-50;-50;-41;-42;null
2021-01-06T17:56:41+01:00;null;-50;-51;-40;-42;null
2021-01-06T17:56:42+01:00;null;-50;-51;-40;-42;null
2021-01-06T17:56:43+01:00;null;-50;-51;-40;-42;null
2021-01-06T17:56:44+01:00;null;-50;-51;-40;-42;null
2021-01-06T17:56:45+01:00;null;-50;-51;-40;-42;null
2021-01-06T17:56:46+01:00;null;-50;-51;-40;-42;null
2021-01-06T17:56:48+01:00;null;-50;-51;-40;null;null
2021-01-06T17:56:49+01:00;null;-50;-51;-40;null;null
2021-01-06T17:56:50+01:00;null;-50;-51;-40;null;null
2021-01-06T17:56:51+01:00;null;-50;-51;null;null;null
2021-01-06T17:57:09+01:00;null;-53;null;null;null;null
2021-01-06T17:57:10+01:00;-73;-53;null;null;null;null
2021-01-06T17:57:11+01:00;-73;-53;null;null;null;null
2021-01-06T17:57:12+01:00;-73;-53;null;null;null;null
2021-01-06T17:57:13+01:00;-73;-53;null;null;null;null
2021-01-06T17:57:14+01:00;-73;-53;null;null;null;null
2021-01-06T17:57:27+01:00;null;null;null;-38;null;null
2021-01-06T17:57:29+01:00;null;null;null;-38;null;null
2021-01-06T17:57:31+01:00;null;null;null;-38;null;null
2021-01-06T17:57:32+01:00;null;null;-54;-38;null;null
2021-01-06T17:57:33+01:00;null;null;-54;null;null;null
2021-01-06T17:57:34+01:00;null;null;-54;null;null;null
2021-01-06T17:57:35+01:00;null;null;-54;null;null;null
2021-01-06T17:57:37+01:00;null;null;null;-42;null;null
2021-01-06T17:57:38+01:00;null;null;null;-41;-56;null
2021-01-06T17:57:39+01:00;null;null;null;-41;-56;null
2021-01-06T17:57:40+01:00;null;null;null;-40;-56;null
2021-01-06T17:57:41+01:00;null;null;null;-40;-56;null
2021-01-06T17:57:43+01:00;null;null;null;-40;-56;null
2021-01-06T17:57:44+01:00;null;null;null;-40;null;null
2021-01-06T17:57:45+01:00;null;null;null;-40;null;null
2021-01-06T17:57:46+01:00;null;null;null;-40;null;null
2021-01-06T17:57:48+01:00;null;null;null;-40;null;null
2021-01-06T17:57:49+01:00;null;null;null;-40;null;null
2021-01-06T17:57:50+01:00;null;null;null;-40;null;null
2021-01-06T17:57:51+01:00;null;null;null;-40;null;null
2021-01-06T17:57:52+01:00;null;null;null;-40;null;null
2021-01-06T17:57:53+01:00;null;null;null;-41;null;null
2021-01-06T17:57:55+01:00;null;null;null;-41;null;null
2021-01-06T17:57:56+01:00;null;null;null;-41;null;null
2021-01-06T17:57:57+01:00;null;null;null;-41;null;null
2021-01-06T17:57:58+01:00;null;null;null;-41;null;null
2021-01-06T17:58:00+01:00;null;null;null;-41;null;null
2021-01-06T17:58:01+01:00;null;null;null;-41;null;null
2021-01-06T17:58:02+01:00;null;null;null;-41;null;null
2021-01-06T17:58:04+01:00;null;null;null;-41;null;null
2021-01-06T17:58:05+01:00;null;null;null;-41;null;null
2021-01-06T17:58:06+01:00;null;null;null;-41;null;null
2021-01-06T17:58:07+01:00;null;null;null;-41;null;null
2021-01-06T17:58:08+01:00;null;null;null;-41;null;null
2021-01-06T17:58:09+01:00;null;-49;null;-41;null;null
2021-01-06T17:58:10+01:00;-74;-49;null;-41;null;null
2021-01-06T17:58:12+01:00;-74;-48;null;-41;null;null
2021-01-06T17:58:13+01:00;-74;-48;null;-41;null;null
2021-01-06T17:58:14+01:00;-74;-48;0;-41;null;null
2021-01-06T17:58:15+01:00;-74;-49;-51;-41;null;null
2021-01-06T17:58:16+01:00;null;-49;-51;-41;null;null
2021-01-06T17:58:17+01:00;null;-49;-51;-41;null;null
2021-01-06T17:58:18+01:00;null;-49;-51;-41;null;null
2021-01-06T17:58:20+01:00;null;-49;null;-41;null;null
2021-01-06T17:58:21+01:00;null;-49;null;-41;null;null
2021-01-06T17:58:22+01:00;null;-49;null;-41;null;null
2021-01-06T17:58:23+01:00;null;-50;null;-41;null;null
2021-01-06T17:58:24+01:00;null;-50;null;-41;null;null
2021-01-06T17:58:26+01:00;null;-50;null;-41;null;null
2021-01-06T17:58:27+01:00;null;-50;null;-41;null;null
2021-01-06T17:58:29+01:00;null;-50;null;-41;null;null
2021-01-06T17:58:30+01:00;null;-50;null;-41;null;null
2021-01-06T17:58:31+01:00;null;null;-49;null;null;null
2021-01-06T17:58:33+01:00;null;null;-49;null;null;null
2021-01-06T17:58:35+01:00;null;null;-49;null;null;null
2021-01-06T17:58:37+01:00;null;null;null;-45;null;null
2021-01-06T17:58:38+01:00;null;null;null;-57;-58;null
2021-01-06T17:58:40+01:00;null;null;null;-57;-58;null
2021-01-06T17:58:41+01:00;null;null;null;-57;-58;null
2021-01-06T17:58:42+01:00;null;null;null;-57;-58;null
2021-01-06T17:58:43+01:00;null;null;null;null;-58;null
2021-01-06T17:59:07+01:00;0;0;0;0;0;null
2021-01-06T17:59:08+01:00;-75;-48;-50;-38;-40;null
2021-01-06T17:59:10+01:00;-75;-49;-50;-38;-40;null
2021-01-06T17:59:11+01:00;-72;-49;-50;-38;-40;null
