Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;;
182;1.942528;7.24112;4.396704;14.603648;;;;;;;;
183;2.1159679999999996;6.4693119999999995;4.231935999999999;13.493632;;;;;;;;
184;2.3674560000000002;7.1630720000000005;3.876384;0.251488;;;;;;;;
185;2.185344;7.284479999999999;0.30351999999999996;7.440576;;;;;;;;
186;1.9512;5.706176;2.9224639999999997;14.152704;;;;;;;;
187;1.9945599999999999;4.301312;3.477472;14.647008;;;;;;;;
188;2.046592;4.370688;4.084512;15.540224;;;;;;;;
189;2.445504;3.8243519999999998;4.07584;13.892544;;;;;;;;
190;1.786432;3.33872;3.477472;15.236704;;;;;;;;
191;2.159328;4.544128;3.408096;13.458943999999999;;;;;;;;
192;2.12464;3.833024;4.786944;13.840512;;;;;;;;
193;1.9945599999999999;3.885056;4.3273280000000005;16.286016;;;;;;;;
194;1.6910399999999999;4.336;3.9457600000000004;14.144032;;;;;;;;
195;0.147424;0.19078399999999998;4.353344;6.790176000000001;;;;;;;;
196;2.185344;2.272064;4.353344;3.7636480000000003;;;;;;;;
197;4.067168000000001;3.2866880000000003;6.1397759999999995;2.896448;;;;;;;;
198;1.3788479999999999;1.5436159999999999;5.8362560000000006;6.2091520000000004;;;;;;;;
199;1.4308800000000002;1.38752;5.697504;13.61504;;;;;;;;
200;1.3008;1.292128;4.093184;14.5256;;;;;;;;
201;2.64496;2.350112;3.4514560000000003;;;;;;;;;
202;1.5522880000000001;0.971264;;;;;;;;;;
203;1.500256;1.396192;;;;;;;;;;
204;1.465568;1.2661120000000001;;;;;;;;;;
205;3.798336;3.486144;;;;;;;;;;
206;3.9457600000000004;3.876384;;;;;;;;;;
207;2.332768;3.919744;;;;;;;;;;
208;2.194016;4.717568;;;;;;;;;;
209;1.933856;4.24928;;;;;;;;;;
210;1.7344000000000002;3.3473919999999997;;;;;;;;;;
211;2.055264;4.197247999999999;;;;;;;;;;
212;1.899168;4.388032;;;;;;;;;;
213;2.194016;4.067168000000001;;;;;;;;;;
214;1.9858879999999999;4.023808;;;;;;;;;;
215;0.19078399999999998;0.294848;;;;;;;;;;
216;2.9918400000000003;2.8617600000000003;;;;;;;;;;
217;2.5929279999999997;3.5121599999999997;;;;;;;;;;
218;2.011904;4.058496;;;;;;;;;;
219;1.9772159999999999;4.093184;;;;;;;;;;
220;2.2633919999999996;3.4948159999999997;;;;;;;;;;
221;1.9512;3.408096;;;;;;;;;;
222;1.942528;4.786944;;;;;;;;;;
223;1.8818240000000002;4.318656;;;;;;;;;;
224;2.1159679999999996;3.9457600000000004;;;;;;;;;;
225;1.77776;4.353344;;;;;;;;;;
226;2.2373760000000003;4.362016;;;;;;;;;;
227;2.176672;6.122432;;;;;;;;;;
228;2.107296;5.8362560000000006;;;;;;;;;;
229;2.2373760000000003;5.697504;;;;;;;;;;
230;1.9772159999999999;4.07584;;;;;;;;;;
231;2.03792;3.4688000000000003;;;;;;;;;;
232;2.150656;;;;;;;;;;;
233;2.03792;;;;;;;;;;;
234;1.6650239999999998;;;;;;;;;;;
235;0.225472;;;;;;;;;;;
236;1.855808;;;;;;;;;;;
237;3.8243519999999998;;;;;;;;;;;
238;2.540896;;;;;;;;;;;
239;2.185344;;;;;;;;;;;
240;1.751744;;;;;;;;;;;
241;2.029248;;;;;;;;;;;
242;2.2373760000000003;;;;;;;;;;;
243;2.12464;;;;;;;;;;;
244;2.29808;;;;;;;;;;;
245;2.150656;;;;;;;;;;;
246;1.9512;;;;;;;;;;;
247;1.959872;;;;;;;;;;;
248;2.289408;;;;;;;;;;;
249;2.350112;;;;;;;;;;;
250;1.90784;;;;;;;;;;;
251;2.0899520000000003;;;;;;;;;;;
252;2.003232;;;;;;;;;;;
253;2.063936;;;;;;;;;;;
254;1.751744;;;;;;;;;;;
255;0.19078399999999998;;;;;;;;;;;
256;2.2200320000000002;;;;;;;;;;;
257;3.2866880000000003;;;;;;;;;;;
258;1.5522880000000001;;;;;;;;;;;
259;1.3788479999999999;;;;;;;;;;;
260;1.2661120000000001;;;;;;;;;;;
261;2.332768;;;;;;;;;;;
262;0.971264;;;;;;;;;;;
263;1.4135360000000001;;;;;;;;;;;
264;1.2574400000000001;;;;;;;;;;;
265;3.477472;;;;;;;;;;;
266;3.867712;;;;;;;;;;;
267;3.026528;;;;;;;;;;;
268;1.8904960000000002;;;;;;;;;;;
269;2.1159679999999996;;;;;;;;;;;
270;1.9512;;;;;;;;;;;
271;2.194016;;;;;;;;;;;
272;1.933856;;;;;;;;;;;
273;1.9512;;;;;;;;;;;
274;2.003232;;;;;;;;;;;
275;0.294848;;;;;;;;;;;
276;2.801056;;;;;;;;;;;
277;3.191296;;;;;;;;;;;
278;2.107296;;;;;;;;;;;
279;2.055264;;;;;;;;;;;
280;1.925184;;;;;;;;;;;
281;2.046592;;;;;;;;;;;
282;2.159328;;;;;;;;;;;
283;2.03792;;;;;;;;;;;
284;2.063936;;;;;;;;;;;
285;2.159328;;;;;;;;;;;
286;2.03792;;;;;;;;;;;
287;2.228704;;;;;;;;;;;
288;1.9772159999999999;;;;;;;;;;;
289;2.159328;;;;;;;;;;;
290;1.8818240000000002;;;;;;;;;;;
291;2.25472;;;;;;;;;;;
292;;;;;;;;;;;;
293;;;;;;;;;;;;
294;;;;;;;;;;;;
295;;;;;;;;;;;;
296;;;;;;;;;;;;
297;;;;;;;;;;;;
298;;;;;;;;;;;;
299;;;;;;;;;;;;
300;;;;;;;;;;;;
301;;;;;;;;;;;;
