Time;Hour;STA 4;STA 3;STA 2;STA 1
263;2020-06-28T18:46:23+02:00;0;0;1;1
264;2020-06-28T18:46:24+02:00;0;0;1;1
265;2020-06-28T18:46:25+02:00;0;0;1;1
266;2020-06-28T18:46:26+02:00;0;0;1;1
267;2020-06-28T18:46:27+02:00;0;0;1;1
268;2020-06-28T18:46:28+02:00;0;0;1;1
269;2020-06-28T18:46:29+02:00;0;0;1;1
270;2020-06-28T18:46:30+02:00;0;0;1;1
271;2020-06-28T18:46:31+02:00;0;0;1;1
272;2020-06-28T18:46:32+02:00;0;0;1;1
273;2020-06-28T18:46:33+02:00;0;0;1;1
274;2020-06-28T18:46:34+02:00;0;0;1;1
275;2020-06-28T18:46:35+02:00;0;0;1;1
276;2020-06-28T18:46:36+02:00;0;0;1;1
277;2020-06-28T18:46:37+02:00;0;0;1;1
278;2020-06-28T18:46:38+02:00;0;0;1;1
279;2020-06-28T18:46:39+02:00;0;0;1;1
280;2020-06-28T18:46:40+02:00;0;0;1;1
281;2020-06-28T18:46:41+02:00;0;0;1;1
282;2020-06-28T18:46:42+02:00;0;0;1;1
283;2020-06-28T18:46:43+02:00;0;0;1;1
284;2020-06-28T18:46:44+02:00;0;0;1;1
285;2020-06-28T18:46:45+02:00;0;0;1;1
286;2020-06-28T18:46:46+02:00;0;0;1;1
287;2020-06-28T18:46:47+02:00;0;0;1;1
288;2020-06-28T18:46:48+02:00;0;0;1;1
289;2020-06-28T18:46:49+02:00;0;0;1;1
290;2020-06-28T18:46:50+02:00;0;0;1;1
291;2020-06-28T18:46:51+02:00;0;0;1;1
292;2020-06-28T18:46:52+02:00;0;0;1;1
293;2020-06-28T18:46:53+02:00;0;0;1;1
294;2020-06-28T18:46:54+02:00;0;0;1;1
295;2020-06-28T18:46:55+02:00;0;0;1;1
296;2020-06-28T18:46:56+02:00;0;0;1;1
297;2020-06-28T18:46:57+02:00;0;0;1;1
298;2020-06-28T18:46:58+02:00;0;0;1;1
299;2020-06-28T18:46:59+02:00;0;0;1;1
300;2020-06-28T18:47:00+02:00;0;0;1;1
301;2020-06-28T18:47:01+02:00;0;0;1;1
