Time (sec), Single Slice Throughput (ms), Single Slice Stdev, Static Slices Throughput (ms), Static Slices Stdev, Adaptive Slices Throughput (ms), Adaptive Slices Stdev
74,31.90587009632474,3.668793312569131,28.016445211575032,7.886157251262054,36.74658253826513,0.0817683266834632
75,31.755639223187472,3.507585937004157,27.12501118428805,7.247657862541877,36.76680015343532,0.07041430347953981
76,31.285812323346363,3.1908583574376497,26.233577157001065,6.412282949019477,36.77667570947043,0.05051182451732955
77,31.54609667477316,3.019517724984194,25.34214312971408,5.2875287771411275,36.77473825711944,0.05256991481028912
78,31.806381026199958,2.8114679528393847,25.30504439277453,5.195084952597016,36.77280080476845,0.05447466643041887
79,32.066665377626755,2.557766864332472,26.788238879794168,6.007312380307014,36.77086335241746,0.05624166102368014
80,32.32694972905355,2.2429768475837144,28.271433366813806,6.351928168246547,36.76892590006646,0.057883515780854794
81,32.95695902398135,1.890647108700524,29.754627853833444,6.3060665969066605,36.416368308663095,1.1813959528915328
82,33.007087940778504,1.9423931403338046,31.237822340853082,5.860567843201202,36.05540611047565,1.5815236375395254
83,33.05721685757565,1.9914083798497044,32.634590192114715,4.832834017173384,35.694443912288214,1.822111817627923
84,33.10734577437281,2.0378898794579325,33.40249884670414,4.618326007999115,35.33348171410078,1.962732731942313
85,33.15747469116996,2.0820073458084014,34.17040750129357,4.243145230937601,34.97251951591333,2.024327522756992
86,32.747698624127366,2.228722137657848,34.938316155882994,3.658185840215148,34.1335859053214,2.9005709297859825
87,32.65751858378861,2.324979085828812,35.70622481047242,2.731860481124056,33.30499435386453,3.3554947212472235
88,32.56733854344985,2.413702915627871,36.573625432366086,0.5106803717472709,32.476402802407655,3.5489346598374976
89,32.47715850311109,2.495697179746272,36.586690763912316,0.5241352369976706,31.647811250950788,3.524214650834035
90,32.38697846277233,2.571605664519816,36.599756095458545,0.5369036271834727,30.819219699493917,3.276400445670534
91,32.84171438040083,2.736691032570139,36.612821427004775,0.5490334386432454,29.885199177009294,2.8662956003966813
92,32.92672535452834,2.825445257585038,36.625886758551005,0.560566126571678,29.301798793577046,2.853672646948987
93,33.01173632865584,2.9087634649247627,36.4929611025003,0.6335047894524855,28.718398410144797,2.7060047056094962
94,33.09674730278334,2.9871005643539696,36.44646208220761,0.6864724215496675,28.134998026712548,2.3984770462443596
95,33.18175827691085,3.060839029360718,36.39996306191492,0.7323958651462293,27.5515976432803,1.8531431676170707
96,32.98450037879858,2.9972144030122916,36.35346404162222,0.7725323756738782,27.031883452523843,0.5810000145272141
97,33.247147464526066,2.8312581006462234,36.306965021329525,0.8077450650368354,26.990140674171883,0.5518013963449437
98,33.50979455025355,2.6262115310299894,36.42433849705296,0.8576562952333865,26.948397895819927,0.5172766514524378
99,33.77244163598104,2.3719586626550617,36.44222000547215,0.875844755642891,26.906655117467967,0.47626891171844754
100,34.035088721708526,2.0502743980656306,36.46010151389135,0.8932694469562319,26.864912339116007,0.4269140515409538
101,34.52370262871003,1.5777681342340952,36.477983022310546,0.9099742454533911,26.311156210352504,1.6306103516104682
102,34.46740057774428,1.5305006073055691,36.49586453072974,0.925998112069395,25.86282905261675,2.1775538067336355
103,34.411098526778524,1.4793708481805377,36.41702606594929,0.9026314536344583,25.414501894880996,2.5263406569308025
