Time,Hour,0x00,0x01,QoS Delay
357,2020-10-30T11:56:50-07:00,0,0,0.062
358,2020-10-30T11:56:51-07:00,0,0,0.054
359,2020-10-30T11:56:52-07:00,0.024,0,0.075
360,2020-10-30T11:56:53-07:00,0.016,0,0.052
361,2020-10-30T11:56:54-07:00,0.103,0,0.064
362,2020-10-30T11:56:55-07:00,0.103,0,0.036
363,2020-10-30T11:56:56-07:00,0.043,0,0.05
364,2020-10-30T11:56:57-07:00,0.018,0,0.049
365,2020-10-30T11:56:58-07:00,0.016,0,0.042
366,2020-10-30T11:56:59-07:00,0.015,0,0.046
367,2020-10-30T11:57:00-07:00,0.015,0,0.072
368,2020-10-30T11:57:01-07:00,0.019,0,0.034
369,2020-10-30T11:57:02-07:00,0.016,0,0.031
370,2020-10-30T11:57:03-07:00,0.014,0,0.051
371,2020-10-30T11:57:04-07:00,0.042,0,0.03
372,2020-10-30T11:57:05-07:00,0.042,0,0.07
373,2020-10-30T11:57:06-07:00,0.019,0,0.043
374,2020-10-30T11:57:07-07:00,0.014,0,0.033
375,2020-10-30T11:57:08-07:00,0.015,0,0.064
376,2020-10-30T11:57:09-07:00,0.1,0,0.032
377,2020-10-30T11:57:10-07:00,0.015,0,0.04
378,2020-10-30T11:57:11-07:00,0.135,0,0.043
379,2020-10-30T11:57:12-07:00,0.068,0,0.035
380,2020-10-30T11:57:13-07:00,0.041,0,0.051
381,2020-10-30T11:57:14-07:00,0.044,0,0.051
382,2020-10-30T11:57:15-07:00,0.044,0,0.054
383,2020-10-30T11:57:16-07:00,0.014,0,0.059
384,2020-10-30T11:57:17-07:00,0.014,0,0.036
385,2020-10-30T11:57:18-07:00,0.018,0,0.041
386,2020-10-30T11:57:19-07:00,0.014,0,0.041
387,2020-10-30T11:57:20-07:00,0.015,0,0.03
388,2020-10-30T11:57:21-07:00,0.015,0,0.053
389,2020-10-30T11:57:22-07:00,0.076,0,0.036
390,2020-10-30T11:57:23-07:00,0.015,0,0.03
391,2020-10-30T11:57:24-07:00,0.02,0,0.028
392,2020-10-30T11:57:25-07:00,0.02,0,0.029
393,2020-10-30T11:57:26-07:00,0.014,0,0.029
394,2020-10-30T11:57:27-07:00,0,0,0.027
395,2020-10-30T11:57:28-07:00,17.294,0,328.278
396,2020-10-30T11:57:29-07:00,93.581,0,648.486
397,2020-10-30T11:57:30-07:00,81.977,0,667.788
398,2020-10-30T11:57:31-07:00,89.476,0,347.718
399,2020-10-30T11:57:32-07:00,89.476,0,149.423
400,2020-10-30T11:57:33-07:00,7.801,0,22.263
401,2020-10-30T11:57:34-07:00,0.032,0,0.033
402,2020-10-30T11:57:35-07:00,0.032,0,0.03
403,2020-10-30T11:57:36-07:00,0.057,0,0.031
404,2020-10-30T11:57:37-07:00,0.018,0,0.028
405,2020-10-30T11:57:38-07:00,0.053,0,0.037
406,2020-10-30T11:57:39-07:00,0.053,0,0.071
407,2020-10-30T11:57:40-07:00,0.045,0,0.031
408,2020-10-30T11:57:41-07:00,0.015,0,0.029
409,2020-10-30T11:57:42-07:00,0.076,0,0.028
410,2020-10-30T11:57:43-07:00,0.063,0,0.03
411,2020-10-30T11:57:44-07:00,0.017,0,0.032
412,2020-10-30T11:57:45-07:00,0.017,0,0.029
413,2020-10-30T11:57:46-07:00,0.04,0,0.03
414,2020-10-30T11:57:47-07:00,0.015,0,0.031
415,2020-10-30T11:57:48-07:00,0.093,0,0.03
416,2020-10-30T11:57:49-07:00,0.015,0,0.03
417,2020-10-30T11:57:50-07:00,0.015,0,0.028
418,2020-10-30T11:57:51-07:00,0.054,0,0.032
419,2020-10-30T11:57:52-07:00,0.036,0,0.031
420,2020-10-30T11:57:53-07:00,0.014,0,0.03
421,2020-10-30T11:57:54-07:00,0.032,0,0.03
422,2020-10-30T11:57:55-07:00,0.032,0,0.032
423,2020-10-30T11:57:56-07:00,0.03,0,0.03
424,2020-10-30T11:57:57-07:00,0.015,0,0.03
425,2020-10-30T11:57:58-07:00,0.047,0,0.034
426,2020-10-30T11:57:59-07:00,0.045,0,0.042
427,2020-10-30T11:58:00-07:00,0.015,0,0.056
428,2020-10-30T11:58:01-07:00,0.019,0,0.04
429,2020-10-30T11:58:02-07:00,0.077,0,0.04
430,2020-10-30T11:58:03-07:00,0.015,0,0.06
431,2020-10-30T11:58:04-07:00,0.018,0,0.06
432,2020-10-30T11:58:05-07:00,0.018,0,0.054
433,2020-10-30T11:58:06-07:00,0.025,0,0.059
434,2020-10-30T11:58:07-07:00,0.044,0,0.056
435,2020-10-30T11:58:08-07:00,0.033,0,0.056
436,2020-10-30T11:58:09-07:00,0.054,0,0.032
437,2020-10-30T11:58:10-07:00,0.017,0,0.034
438,2020-10-30T11:58:11-07:00,0.057,0,0.059
439,2020-10-30T11:58:12-07:00,0.032,0,0.041
440,2020-10-30T11:58:13-07:00,0.018,0,0.059
441,2020-10-30T11:58:14-07:00,0.058,0,0.034
442,2020-10-30T11:58:15-07:00,0.058,0,0.053
443,2020-10-30T11:58:16-07:00,0.024,0,0.029
444,2020-10-30T11:58:17-07:00,0.014,0,0.032
445,2020-10-30T11:58:18-07:00,0.019,0,0.031
446,2020-10-30T11:58:19-07:00,0.015,0,0.03
447,2020-10-30T11:58:20-07:00,0.029,0,0.028
448,2020-10-30T11:58:21-07:00,0.015,0,0.029
449,2020-10-30T11:58:22-07:00,0.015,0,0.029
450,2020-10-30T11:58:23-07:00,0.015,0,0.032
451,2020-10-30T11:58:24-07:00,0.019,0,0.031
452,2020-10-30T11:58:25-07:00,0.019,0,0.029
453,2020-10-30T11:58:26-07:00,0.053,0,0.031
454,2020-10-30T11:58:27-07:00,0,0,0.038
455,2020-10-30T11:58:28-07:00,15.252,0,334.655
456,2020-10-30T11:58:29-07:00,15.252,0,568.966
457,2020-10-30T11:58:30-07:00,22.705,0,645.848
458,2020-10-30T11:58:31-07:00,7.323,0,273.807
459,2020-10-30T11:58:32-07:00,12.912,0,94.28
460,2020-10-30T11:58:33-07:00,2.294,0,9.846
461,2020-10-30T11:58:34-07:00,0.015,0,0.032
462,2020-10-30T11:58:35-07:00,0.015,0,0.036
463,2020-10-30T11:58:36-07:00,0.059,0,0.038
464,2020-10-30T11:58:37-07:00,0.015,0,0.045
465,2020-10-30T11:58:38-07:00,0.03,0,0.058
466,2020-10-30T11:58:39-07:00,0.015,0,0.049
467,2020-10-30T11:58:40-07:00,0.058,0,0.059
468,2020-10-30T11:58:41-07:00,0.014,0,0.042
