Time,Hour,0x00,0x01,QoS
266,2020-10-30T11:55:19-07:00,0.004864,0,21.567264
267,2020-10-30T11:55:20-07:00,0.004864,0,20.058336
268,2020-10-30T11:55:21-07:00,0.004864,0,21.0296
269,2020-10-30T11:55:22-07:00,0.004864,0,20.951552
270,2020-10-30T11:55:23-07:00,0.00776,0,21.37648
271,2020-10-30T11:55:24-07:00,0.010472,0,22.347744
272,2020-10-30T11:55:25-07:00,0.004864,0,19.650752
273,2020-10-30T11:55:26-07:00,0.004864,0,20.431232
274,2020-10-30T11:55:27-07:00,0.004864,0,12.409632
275,2020-10-30T11:55:28-07:00,0.006112,0,6.295872
276,2020-10-30T11:55:29-07:00,0.004864,0,6.356576
277,2020-10-30T11:55:30-07:00,0.004864,0,9.599904
278,2020-10-30T11:55:31-07:00,0.004864,0,21.974848
279,2020-10-30T11:55:32-07:00,0.004864,0,22.044224
280,2020-10-30T11:55:33-07:00,0.004864,0,20.006304
281,2020-10-30T11:55:34-07:00,0.009856,0,23.93472
282,2020-10-30T11:55:35-07:00,0.004864,0,18.098464
283,2020-10-30T11:55:36-07:00,0.004864,0,20.873504
284,2020-10-30T11:55:37-07:00,0.004864,0,20.03232
285,2020-10-30T11:55:38-07:00,0.004864,0,21.081632
286,2020-10-30T11:55:39-07:00,0.004864,0,20.630688
287,2020-10-30T11:55:40-07:00,0.004864,0,21.411168
288,2020-10-30T11:55:41-07:00,0.004864,0,19.841536
289,2020-10-30T11:55:42-07:00,0.004864,0,20.439904
290,2020-10-30T11:55:43-07:00,0.004864,0,20.916864
291,2020-10-30T11:55:44-07:00,0.009848,0,24.75856
292,2020-10-30T11:55:45-07:00,0.004864,0,16.442112
293,2020-10-30T11:55:46-07:00,0.006112,0,21.315776
294,2020-10-30T11:55:47-07:00,0.004864,0,20.29248
295,2020-10-30T11:55:48-07:00,0.004864,0,20.916864
296,2020-10-30T11:55:49-07:00,0.004864,0,21.948832
297,2020-10-30T11:55:50-07:00,0.004864,0,19.147776
298,2020-10-30T11:55:51-07:00,0.004864,0,20.474592
299,2020-10-30T11:55:52-07:00,0.004864,0,20.847488
300,2020-10-30T11:55:53-07:00,0.004864,0,21.706016
301,2020-10-30T11:55:54-07:00,0.009848,0,21.15968
302,2020-10-30T11:55:55-07:00,0.004864,0,20.864832
303,2020-10-30T11:55:56-07:00,0.004864,0,20.63936
304,2020-10-30T11:55:57-07:00,0.004864,0,20.743424
305,2020-10-30T11:55:58-07:00,0.004864,0,20.179744
306,2020-10-30T11:55:59-07:00,0.004864,0,21.081632
307,2020-10-30T11:56:00-07:00,0.004864,0,20.622016
308,2020-10-30T11:56:01-07:00,0.004864,0,20.058336
309,2020-10-30T11:56:02-07:00,0.004864,0,22.28704
310,2020-10-30T11:56:03-07:00,0.004864,0,20.804128
311,2020-10-30T11:56:04-07:00,0.00928,0,22.495168
312,2020-10-30T11:56:05-07:00,0.004864,0,18.679488
313,2020-10-30T11:56:06-07:00,0.004864,0,21.28976
314,2020-10-30T11:56:07-07:00,0.004864,0,20.483264
315,2020-10-30T11:56:08-07:00,0.005488,0,21.584608
316,2020-10-30T11:56:09-07:00,0.004864,0,20.240448
317,2020-10-30T11:56:10-07:00,0.004864,0,21.281088
318,2020-10-30T11:56:11-07:00,0.004864,0,21.54992
319,2020-10-30T11:56:12-07:00,0.004864,0,21.055616
320,2020-10-30T11:56:13-07:00,0.004864,0,21.185696
321,2020-10-30T11:56:14-07:00,0.00928,0,21.272416
322,2020-10-30T11:56:15-07:00,0.004864,0,19.7288
323,2020-10-30T11:56:16-07:00,0.004864,0,20.3792
324,2020-10-30T11:56:17-07:00,0.004864,0,20.89952
325,2020-10-30T11:56:18-07:00,0.004864,0,21.272416
326,2020-10-30T11:56:19-07:00,0.004864,0,21.272416
327,2020-10-30T11:56:20-07:00,0.004864,0,19.46864
328,2020-10-30T11:56:21-07:00,0.004864,0,21.220384
329,2020-10-30T11:56:22-07:00,0.004864,0,21.28976
330,2020-10-30T11:56:23-07:00,0.004864,0,20.804128
331,2020-10-30T11:56:24-07:00,0.009856,0,20.014976
332,2020-10-30T11:56:25-07:00,0.005488,0,20.864832
333,2020-10-30T11:56:26-07:00,0.004864,0,21.50656
334,2020-10-30T11:56:27-07:00,0.004864,0,12.418304
335,2020-10-30T11:56:28-07:00,0.004864,0,6.399936
336,2020-10-30T11:56:29-07:00,0.004864,0,6.33056
337,2020-10-30T11:56:30-07:00,0.004864,0,8.316448
338,2020-10-30T11:56:31-07:00,0.005488,0,21.41984
339,2020-10-30T11:56:32-07:00,0.00776,0,21.758048
340,2020-10-30T11:56:33-07:00,0.004864,0,22.486496
341,2020-10-30T11:56:34-07:00,0.009856,0,22.182976
342,2020-10-30T11:56:35-07:00,0.004864,0,19.659424
343,2020-10-30T11:56:36-07:00,0.004864,0,22.946112
344,2020-10-30T11:56:37-07:00,0.004864,0,19.789504
345,2020-10-30T11:56:38-07:00,0.004864,0,20.145056
346,2020-10-30T11:56:39-07:00,0.004864,0,20.752096
347,2020-10-30T11:56:40-07:00,0.004864,0,20.674048
348,2020-10-30T11:56:41-07:00,0.004864,0,19.564032
349,2020-10-30T11:56:42-07:00,0.004864,0,21.94016
350,2020-10-30T11:56:43-07:00,0.004864,0,20.98624
351,2020-10-30T11:56:44-07:00,0.009776,0,20.03232
352,2020-10-30T11:56:45-07:00,0.004864,0,20.283808
353,2020-10-30T11:56:46-07:00,0.004864,0,20.821472
354,2020-10-30T11:56:47-07:00,0.004864,0,20.882176
355,2020-10-30T11:56:48-07:00,0.004864,0,20.275136
356,2020-10-30T11:56:49-07:00,0.004864,0,20.908192
357,2020-10-30T11:56:50-07:00,0.004864,0,21.341792
358,2020-10-30T11:56:51-07:00,0.004864,0,20.517952
359,2020-10-30T11:56:52-07:00,0.004864,0,21.20304
360,2020-10-30T11:56:53-07:00,0.004864,0,20.50928
361,2020-10-30T11:56:54-07:00,0.007888,0,21.706016
362,2020-10-30T11:56:55-07:00,0.007456,0,20.882176
363,2020-10-30T11:56:56-07:00,0.004864,0,20.977568
364,2020-10-30T11:56:57-07:00,0.004864,0,20.11904
365,2020-10-30T11:56:58-07:00,0.004864,0,20.543968
366,2020-10-30T11:56:59-07:00,0.004864,0,22.581888
367,2020-10-30T11:57:00-07:00,0.004864,0,19.399264
368,2020-10-30T11:57:01-07:00,0.004864,0,21.385152
369,2020-10-30T11:57:02-07:00,0.004864,0,20.72608
370,2020-10-30T11:57:03-07:00,0.004864,0,21.8968
371,2020-10-30T11:57:04-07:00,0.009232,0,19.633408
372,2020-10-30T11:57:05-07:00,0.006112,0,20.786784
373,2020-10-30T11:57:06-07:00,0.004864,0,21.064288
374,2020-10-30T11:57:07-07:00,0.004864,0,20.76944
375,2020-10-30T11:57:08-07:00,0.004864,0,20.68272
376,2020-10-30T11:57:09-07:00,0.004864,0,20.353184
377,2020-10-30T11:57:10-07:00,0.004864,0,20.786784
378,2020-10-30T11:57:11-07:00,0.004864,0,20.76944
379,2020-10-30T11:57:12-07:00,0.004864,0,20.72608
380,2020-10-30T11:57:13-07:00,0.004864,0,20.994912
381,2020-10-30T11:57:14-07:00,0.009224,0,23.527136
382,2020-10-30T11:57:15-07:00,0.005488,0,17.803616
383,2020-10-30T11:57:16-07:00,0.005488,0,20.752096
384,2020-10-30T11:57:17-07:00,0.004864,0,21.229056
385,2020-10-30T11:57:18-07:00,0.004864,0,21.367808
386,2020-10-30T11:57:19-07:00,0.004864,0,20.968896
387,2020-10-30T11:57:20-07:00,0.004864,0,20.63936
388,2020-10-30T11:57:21-07:00,0.004864,0,20.8128
389,2020-10-30T11:57:22-07:00,0.004864,0,20.951552
390,2020-10-30T11:57:23-07:00,0.004864,0,20.873504
391,2020-10-30T11:57:24-07:00,0.0086,0,21.393824
392,2020-10-30T11:57:25-07:00,0.005536,0,20.396544
393,2020-10-30T11:57:26-07:00,0.004864,0,21.211712
394,2020-10-30T11:57:27-07:00,0.004864,0,12.253536
395,2020-10-30T11:57:28-07:00,0.004864,0,6.174464
396,2020-10-30T11:57:29-07:00,0.004864,0,6.902912
397,2020-10-30T11:57:30-07:00,0.004864,0,8.654656
398,2020-10-30T11:57:31-07:00,0.004864,0,21.584608
399,2020-10-30T11:57:32-07:00,0.004864,0,23.093536
400,2020-10-30T11:57:33-07:00,0.004864,0,21.0296
401,2020-10-30T11:57:34-07:00,0.00976,0,20.301152
402,2020-10-30T11:57:35-07:00,0.004864,0,20.98624
403,2020-10-30T11:57:36-07:00,0.004864,0,21.098976
404,2020-10-30T11:57:37-07:00,0.004864,0,20.708736
405,2020-10-30T11:57:38-07:00,0.005488,0,21.281088
406,2020-10-30T11:57:39-07:00,0.004864,0,21.307104
407,2020-10-30T11:57:40-07:00,0.004864,0,20.301152
408,2020-10-30T11:57:41-07:00,0.004864,0,20.153728
409,2020-10-30T11:57:42-07:00,0.004864,0,20.994912
410,2020-10-30T11:57:43-07:00,0.004864,0,20.838816
411,2020-10-30T11:57:44-07:00,0.008528,0,21.653984
412,2020-10-30T11:57:45-07:00,0.006112,0,20.301152
413,2020-10-30T11:57:46-07:00,0.004864,0,20.847488
414,2020-10-30T11:57:47-07:00,0.004864,0,20.283808
415,2020-10-30T11:57:48-07:00,0.004864,0,21.07296
416,2020-10-30T11:57:49-07:00,0.004864,0,21.41984
417,2020-10-30T11:57:50-07:00,0.004864,0,21.038272
418,2020-10-30T11:57:51-07:00,0.004864,0,20.517952
419,2020-10-30T11:57:52-07:00,0.004864,0,20.648032
420,2020-10-30T11:57:53-07:00,0.004864,0,21.133664
421,2020-10-30T11:57:54-07:00,0.01048,0,21.307104
422,2020-10-30T11:57:55-07:00,0.004864,0,20.457248
423,2020-10-30T11:57:56-07:00,0.004864,0,20.526624
424,2020-10-30T11:57:57-07:00,0.004864,0,20.63936
425,2020-10-30T11:57:58-07:00,0.004864,0,21.307104
426,2020-10-30T11:57:59-07:00,0.004864,0,21.272416
427,2020-10-30T11:58:00-07:00,0.004864,0,20.474592
428,2020-10-30T11:58:01-07:00,0.004864,0,21.41984
429,2020-10-30T11:58:02-07:00,0.004864,0,21.974848
430,2020-10-30T11:58:03-07:00,0.004864,0,20.491936
431,2020-10-30T11:58:04-07:00,0.009856,0,21.003584
432,2020-10-30T11:58:05-07:00,0.004864,0,20.700064
433,2020-10-30T11:58:06-07:00,0.004864,0,21.263744
