Time,Hour,STA 2,STA 1
309,2020-10-30T12:07:07-07:00,10.64846841,0.004768745
310,2020-10-30T12:07:08-07:00,10.79476949,0
311,2020-10-30T12:07:09-07:00,10.2564726,0.00475651
312,2020-10-30T12:07:10-07:00,9.806837801,0.004436358
313,2020-10-30T12:07:11-07:00,9.601339277,0.004559087
314,2020-10-30T12:07:12-07:00,10.38723197,0.005018611
315,2020-10-30T12:07:13-07:00,9.722023702,0.009049386
316,2020-10-30T12:07:14-07:00,9.885036217,0.004637535
317,2020-10-30T12:07:15-07:00,9.457257169,0.004691195
318,2020-10-30T12:07:16-07:00,9.275790148,0
319,2020-10-30T12:07:17-07:00,4.576101151,0.004869656
320,2020-10-30T12:07:18-07:00,2.462915506,0.004688356
321,2020-10-30T12:07:19-07:00,2.682136052,0.004602368
322,2020-10-30T12:07:20-07:00,3.902386705,0.009012822
323,2020-10-30T12:07:21-07:00,13.25175739,0
324,2020-10-30T12:07:22-07:00,13.12301778,0.00486583
325,2020-10-30T12:07:23-07:00,14.3649388,0.004983179
326,2020-10-30T12:07:24-07:00,13.06174643,0.004467767
327,2020-10-30T12:07:25-07:00,14.19519872,0.009684082
328,2020-10-30T12:07:26-07:00,12.81600855,0
329,2020-10-30T12:07:27-07:00,9.89466814,0.005015786
330,2020-10-30T12:07:28-07:00,4.185302678,0.004931205
331,2020-10-30T12:07:29-07:00,3.270973584,0.005144796
332,2020-10-30T12:07:30-07:00,3.975191277,0.004381047
333,2020-10-30T12:07:31-07:00,11.40527262,0.009226592
334,2020-10-30T12:07:32-07:00,13.10204996,0
335,2020-10-30T12:07:33-07:00,13.09614626,0.004785112
336,2020-10-30T12:07:34-07:00,13.28778945,0.004838416
337,2020-10-30T12:07:35-07:00,12.73437221,0.008680387
338,2020-10-30T12:07:36-07:00,13.61706362,0
339,2020-10-30T12:07:37-07:00,13.3263734,0.004748943
340,2020-10-30T12:07:38-07:00,13.59446458,0.004700364
341,2020-10-30T12:07:39-07:00,13.49669102,0.004729623
