Time,Hour,0x00,0x01,0x02
268,2020-10-30T12:06:26-07:00,12000,10,12000
269,2020-10-30T12:06:27-07:00,12000,10,12000
270,2020-10-30T12:06:28-07:00,12000,10,12000
271,2020-10-30T12:06:29-07:00,12000,10,12000
272,2020-10-30T12:06:30-07:00,12000,11,12000
273,2020-10-30T12:06:31-07:00,12000,11,12000
274,2020-10-30T12:06:32-07:00,12000,11,12000
275,2020-10-30T12:06:33-07:00,12000,11,12000
276,2020-10-30T12:06:34-07:00,12000,11,12000
277,2020-10-30T12:06:35-07:00,12000,12,12000
278,2020-10-30T12:06:36-07:00,12000,12,12000
279,2020-10-30T12:06:37-07:00,12000,12,12000
280,2020-10-30T12:06:38-07:00,12000,12,12000
281,2020-10-30T12:06:39-07:00,12000,12,12000
282,2020-10-30T12:06:40-07:00,12000,13,12000
283,2020-10-30T12:06:41-07:00,12000,13,12000
284,2020-10-30T12:06:42-07:00,12000,13,12000
285,2020-10-30T12:06:43-07:00,12000,13,12000
286,2020-10-30T12:06:44-07:00,12000,13,12000
287,2020-10-30T12:06:45-07:00,12000,14,12000
288,2020-10-30T12:06:46-07:00,12000,14,12000
289,2020-10-30T12:06:47-07:00,12000,14,12000
290,2020-10-30T12:06:48-07:00,12000,14,12000
291,2020-10-30T12:06:49-07:00,12000,14,12000
292,2020-10-30T12:06:50-07:00,12000,15,12000
293,2020-10-30T12:06:51-07:00,12000,15,12000
294,2020-10-30T12:06:52-07:00,12000,15,12000
295,2020-10-30T12:06:53-07:00,12000,15,12000
296,2020-10-30T12:06:54-07:00,12000,15,12000
297,2020-10-30T12:06:55-07:00,12000,16,12000
298,2020-10-30T12:06:56-07:00,12000,16,12000
299,2020-10-30T12:06:57-07:00,12000,16,12000
300,2020-10-30T12:06:58-07:00,12000,16,12000
301,2020-10-30T12:06:59-07:00,12000,16,12000
302,2020-10-30T12:07:00-07:00,12000,17,12000
303,2020-10-30T12:07:01-07:00,12000,17,12000
304,2020-10-30T12:07:02-07:00,12000,17,12000
305,2020-10-30T12:07:03-07:00,12000,17,12000
306,2020-10-30T12:07:04-07:00,12000,17,12000
307,2020-10-30T12:07:05-07:00,12000,18,12000
308,2020-10-30T12:07:06-07:00,12000,18,12000
309,2020-10-30T12:07:07-07:00,12000,18,12000
310,2020-10-30T12:07:08-07:00,12000,18,12000
311,2020-10-30T12:07:09-07:00,12000,18,12000
312,2020-10-30T12:07:10-07:00,12000,19,12000
313,2020-10-30T12:07:11-07:00,12000,19,12000
314,2020-10-30T12:07:12-07:00,12000,19,12000
315,2020-10-30T12:07:13-07:00,12000,19,12000
316,2020-10-30T12:07:14-07:00,12000,19,12000
317,2020-10-30T12:07:15-07:00,12000,20,12000
318,2020-10-30T12:07:16-07:00,12000,20,12000
319,2020-10-30T12:07:17-07:00,12000,20,12000
320,2020-10-30T12:07:18-07:00,12000,20,12000
321,2020-10-30T12:07:19-07:00,12000,20,12000
322,2020-10-30T12:07:20-07:00,12000,10,12000
323,2020-10-30T12:07:21-07:00,12000,10,12000
324,2020-10-30T12:07:22-07:00,12000,10,12000
325,2020-10-30T12:07:23-07:00,12000,10,12000
326,2020-10-30T12:07:24-07:00,12000,10,12000
327,2020-10-30T12:07:25-07:00,12000,10,12000
328,2020-10-30T12:07:26-07:00,12000,10,12000
329,2020-10-30T12:07:27-07:00,12000,10,12000
330,2020-10-30T12:07:28-07:00,12000,10,12000
331,2020-10-30T12:07:29-07:00,12000,10,12000
332,2020-10-30T12:07:30-07:00,12000,11,12000
333,2020-10-30T12:07:31-07:00,12000,11,12000
334,2020-10-30T12:07:32-07:00,12000,11,12000
335,2020-10-30T12:07:33-07:00,12000,11,12000
336,2020-10-30T12:07:34-07:00,12000,11,12000
337,2020-10-30T12:07:35-07:00,12000,10,12000
338,2020-10-30T12:07:36-07:00,12000,10,12000
339,2020-10-30T12:07:37-07:00,12000,10,12000
340,2020-10-30T12:07:38-07:00,12000,10,12000
341,2020-10-30T12:07:39-07:00,12000,10,12000
342,2020-10-30T12:07:40-07:00,12000,11,12000
343,2020-10-30T12:07:41-07:00,12000,11,12000
344,2020-10-30T12:07:42-07:00,12000,11,12000
345,2020-10-30T12:07:43-07:00,12000,11,12000
346,2020-10-30T12:07:44-07:00,12000,11,12000
347,2020-10-30T12:07:45-07:00,12000,12,12000
348,2020-10-30T12:07:46-07:00,12000,12,12000
349,2020-10-30T12:07:47-07:00,12000,12,12000
350,2020-10-30T12:07:48-07:00,12000,12,12000
351,2020-10-30T12:07:49-07:00,12000,12,12000
352,2020-10-30T12:07:50-07:00,12000,13,12000
353,2020-10-30T12:07:51-07:00,12000,13,12000
354,2020-10-30T12:07:52-07:00,12000,13,12000
355,2020-10-30T12:07:53-07:00,12000,13,12000
356,2020-10-30T12:07:54-07:00,12000,13,12000
357,2020-10-30T12:07:55-07:00,12000,14,12000
358,2020-10-30T12:07:56-07:00,12000,14,12000
359,2020-10-30T12:07:57-07:00,12000,14,12000
360,2020-10-30T12:07:58-07:00,12000,14,12000
361,2020-10-30T12:07:59-07:00,12000,14,12000
362,2020-10-30T12:08:00-07:00,12000,15,12000
363,2020-10-30T12:08:01-07:00,12000,15,12000
364,2020-10-30T12:08:02-07:00,12000,15,12000
365,2020-10-30T12:08:03-07:00,12000,15,12000
366,2020-10-30T12:08:04-07:00,12000,15,12000
367,2020-10-30T12:08:05-07:00,12000,16,12000
368,2020-10-30T12:08:06-07:00,12000,16,12000
369,2020-10-30T12:08:07-07:00,12000,16,12000
370,2020-10-30T12:08:08-07:00,12000,16,12000
371,2020-10-30T12:08:09-07:00,12000,16,12000
372,2020-10-30T12:08:10-07:00,12000,17,12000
373,2020-10-30T12:08:11-07:00,12000,17,12000
374,2020-10-30T12:08:12-07:00,12000,17,12000
375,2020-10-30T12:08:13-07:00,12000,17,12000
376,2020-10-30T12:08:14-07:00,12000,17,12000
377,2020-10-30T12:08:15-07:00,12000,18,12000
378,2020-10-30T12:08:16-07:00,12000,18,12000
379,2020-10-30T12:08:17-07:00,12000,18,12000
380,2020-10-30T12:08:18-07:00,12000,18,12000
