#;approach;throughput;slice
524;Gómez et al.;null;QoS 1
525;Gómez et al.;null;QoS 1
526;Gómez et al.;null;QoS 1
527;Gómez et al.;null;QoS 1
528;Gómez et al.;null;QoS 1
529;Gómez et al.;null;QoS 1
530;Gómez et al.;null;QoS 1
531;Gómez et al.;null;QoS 1
532;Gómez et al.;null;QoS 1
533;Gómez et al.;null;QoS 1
534;Gómez et al.;null;QoS 1
535;Gómez et al.;null;QoS 1
536;Gómez et al.;null;QoS 1
537;Gómez et al.;null;QoS 1
538;Gómez et al.;null;QoS 1
539;Gómez et al.;null;QoS 1
540;Gómez et al.;null;QoS 1
541;Gómez et al.;null;QoS 1
542;Gómez et al.;null;QoS 1
543;Gómez et al.;null;QoS 1
544;Gómez et al.;null;QoS 1
545;Gómez et al.;null;QoS 1
546;Gómez et al.;null;QoS 1
547;Gómez et al.;null;QoS 1
548;Gómez et al.;null;QoS 1
549;Gómez et al.;null;QoS 1
550;Gómez et al.;null;QoS 1
551;Gómez et al.;null;QoS 1
552;Gómez et al.;null;QoS 1
553;Gómez et al.;null;QoS 1
554;Gómez et al.;null;QoS 1
555;Gómez et al.;null;QoS 1
556;Gómez et al.;null;QoS 1
557;Gómez et al.;null;QoS 1
558;Gómez et al.;null;QoS 1
559;Gómez et al.;null;QoS 1
560;Gómez et al.;null;QoS 1
561;Gómez et al.;null;QoS 1
562;Gómez et al.;null;QoS 1
563;Gómez et al.;null;QoS 1
564;Gómez et al.;null;QoS 1
565;Gómez et al.;null;QoS 1
566;Gómez et al.;null;QoS 1
567;Gómez et al.;null;QoS 1
568;Gómez et al.;null;QoS 1
569;Gómez et al.;null;QoS 1
570;Gómez et al.;null;QoS 1
571;Gómez et al.;null;QoS 1
572;Gómez et al.;null;QoS 1
573;Gómez et al.;null;QoS 1
574;Gómez et al.;null;QoS 1
575;Gómez et al.;null;QoS 1
576;Gómez et al.;null;QoS 1
577;Gómez et al.;null;QoS 1
578;Gómez et al.;null;QoS 1
579;Gómez et al.;null;QoS 1
580;Gómez et al.;null;QoS 1
581;Gómez et al.;null;QoS 1
582;Gómez et al.;null;QoS 1
583;Gómez et al.;null;QoS 1
584;Gómez et al.;null;QoS 1
585;Gómez et al.;null;QoS 1
586;Gómez et al.;null;QoS 1
587;Gómez et al.;null;QoS 1
588;Gómez et al.;null;QoS 1
589;Gómez et al.;null;QoS 1
590;Gómez et al.;null;QoS 1
591;Gómez et al.;null;QoS 1
592;Gómez et al.;null;QoS 1
593;Gómez et al.;null;QoS 1
594;Gómez et al.;null;QoS 1
595;Gómez et al.;null;QoS 1
596;Gómez et al.;null;QoS 1
597;Gómez et al.;null;QoS 1
598;Gómez et al.;null;QoS 1
599;Gómez et al.;null;QoS 1
600;Gómez et al.;null;QoS 1
601;Gómez et al.;null;QoS 1
602;Gómez et al.;null;QoS 1
603;Gómez et al.;null;QoS 1
604;Gómez et al.;null;QoS 1
605;Gómez et al.;null;QoS 1
606;Gómez et al.;null;QoS 1
607;Gómez et al.;null;QoS 1
608;Gómez et al.;null;QoS 1
609;Gómez et al.;null;QoS 1
610;Gómez et al.;null;QoS 1
611;Gómez et al.;null;QoS 1
612;Gómez et al.;null;QoS 1
613;Gómez et al.;null;QoS 1
614;Gómez et al.;null;QoS 1
615;Gómez et al.;null;QoS 1
616;Gómez et al.;null;QoS 1
617;Gómez et al.;null;QoS 1
618;Gómez et al.;null;QoS 1
619;Gómez et al.;null;QoS 1
620;Gómez et al.;null;QoS 1
621;Gómez et al.;null;QoS 1
622;Gómez et al.;null;QoS 1
623;Gómez et al.;null;QoS 1
624;Gómez et al.;null;QoS 1
625;Gómez et al.;null;QoS 1
626;Gómez et al.;null;QoS 1
627;Gómez et al.;null;QoS 1
628;Gómez et al.;null;QoS 1
629;Gómez et al.;null;QoS 1
630;Gómez et al.;null;QoS 1
631;Gómez et al.;null;QoS 1
632;Gómez et al.;null;QoS 1
633;Gómez et al.;null;QoS 1
634;Gómez et al.;null;QoS 1
635;Gómez et al.;null;QoS 1
636;Gómez et al.;null;QoS 1
637;Gómez et al.;null;QoS 1
638;Gómez et al.;null;QoS 1
639;Gómez et al.;null;QoS 1
640;Gómez et al.;null;QoS 1
641;Gómez et al.;null;QoS 1
642;Gómez et al.;null;QoS 1
643;Gómez et al.;null;QoS 1
644;Gómez et al.;null;QoS 1
645;Gómez et al.;null;QoS 1
646;Gómez et al.;null;QoS 1
647;Gómez et al.;null;QoS 1
648;Gómez et al.;null;QoS 1
649;Gómez et al.;null;QoS 1
650;Gómez et al.;null;QoS 1
651;Gómez et al.;null;QoS 1
652;Gómez et al.;null;QoS 1
653;Gómez et al.;null;QoS 1
654;Gómez et al.;null;QoS 1
655;Gómez et al.;null;QoS 1
656;Gómez et al.;null;QoS 1
657;Gómez et al.;null;QoS 1
658;Gómez et al.;null;QoS 1
659;Gómez et al.;null;QoS 1
660;Gómez et al.;null;QoS 1
661;Gómez et al.;null;QoS 1
662;Gómez et al.;null;QoS 1
663;Gómez et al.;null;QoS 1
664;Gómez et al.;null;QoS 1
665;Gómez et al.;null;QoS 1
666;Gómez et al.;null;QoS 1
667;Gómez et al.;null;QoS 1
668;Gómez et al.;null;QoS 1
669;Gómez et al.;null;QoS 1
670;Gómez et al.;null;QoS 1
671;Gómez et al.;null;QoS 1
672;Gómez et al.;null;QoS 1
673;Gómez et al.;null;QoS 1
674;Gómez et al.;null;QoS 1
675;Gómez et al.;null;QoS 1
676;Gómez et al.;null;QoS 1
677;Gómez et al.;null;QoS 1
678;Gómez et al.;null;QoS 1
679;Gómez et al.;null;QoS 1
680;Gómez et al.;null;QoS 1
681;Gómez et al.;null;QoS 1
682;Gómez et al.;null;QoS 1
683;Gómez et al.;null;QoS 1
684;Gómez et al.;null;QoS 1
685;Gómez et al.;null;QoS 1
686;Gómez et al.;null;QoS 1
687;Gómez et al.;null;QoS 1
688;Gómez et al.;null;QoS 1
689;Gómez et al.;null;QoS 1
690;Gómez et al.;null;QoS 1
691;Gómez et al.;null;QoS 1
692;Gómez et al.;null;QoS 1
693;Gómez et al.;null;QoS 1
694;Gómez et al.;null;QoS 1
695;Gómez et al.;null;QoS 1
696;Gómez et al.;null;QoS 1
697;Gómez et al.;null;QoS 1
698;Gómez et al.;null;QoS 1
699;Gómez et al.;null;QoS 1
700;Gómez et al.;null;QoS 1
701;Gómez et al.;null;QoS 1
702;Gómez et al.;null;QoS 1
703;Gómez et al.;null;QoS 1
704;Gómez et al.;null;QoS 1
705;Gómez et al.;null;QoS 1
706;Gómez et al.;null;QoS 1
707;Gómez et al.;null;QoS 1
708;Gómez et al.;null;QoS 1
709;Gómez et al.;null;QoS 1
710;Gómez et al.;null;QoS 1
711;Gómez et al.;null;QoS 1
712;Gómez et al.;null;QoS 1
713;Gómez et al.;null;QoS 1
714;Gómez et al.;null;QoS 1
715;Gómez et al.;null;QoS 1
716;Gómez et al.;null;QoS 1
717;Gómez et al.;null;QoS 1
718;Gómez et al.;null;QoS 1
719;Gómez et al.;null;QoS 1
720;Gómez et al.;null;QoS 1
721;Gómez et al.;null;QoS 1
722;Gómez et al.;null;QoS 1
723;Gómez et al.;null;QoS 1
724;Gómez et al.;null;QoS 1
725;Gómez et al.;null;QoS 1
726;Gómez et al.;null;QoS 1
727;Gómez et al.;null;QoS 1
