Time;Hour;0x02;0x03;QoS 1;BE 3;BE 4;0x00;0x01
255;2020-11-23T17:54:09+01:00;null;null;null;null;null;null;null
256;2020-11-23T17:54:10+01:00;null;null;null;null;null;null;null
257;2020-11-23T17:54:11+01:00;null;null;null;null;null;null;null
258;2020-11-23T17:54:12+01:00;null;null;null;null;null;null;null
259;2020-11-23T17:54:13+01:00;null;null;null;null;null;null;null
260;2020-11-23T17:54:14+01:00;null;null;null;null;null;null;null
261;2020-11-23T17:54:15+01:00;null;null;null;null;null;null;null
262;2020-11-23T17:54:16+01:00;null;null;null;null;null;null;null
263;2020-11-23T17:54:17+01:00;null;null;null;null;null;null;null
264;2020-11-23T17:54:18+01:00;null;null;null;null;null;null;null
265;2020-11-23T17:54:19+01:00;null;null;null;null;null;null;null
266;2020-11-23T17:54:20+01:00;null;null;null;null;null;null;null
267;2020-11-23T17:54:21+01:00;null;null;null;null;null;null;null
268;2020-11-23T17:54:22+01:00;null;null;null;null;null;null;null
269;2020-11-23T17:54:23+01:00;null;null;null;null;null;null;null
270;2020-11-23T17:54:24+01:00;null;null;null;null;null;null;null
271;2020-11-23T17:54:25+01:00;null;null;null;null;null;null;null
272;2020-11-23T17:54:26+01:00;null;null;null;null;null;null;null
273;2020-11-23T17:54:27+01:00;null;null;null;null;null;null;null
274;2020-11-23T17:54:28+01:00;null;null;null;null;null;null;null
275;2020-11-23T17:54:29+01:00;null;null;null;null;null;null;null
276;2020-11-23T17:54:30+01:00;null;null;null;null;null;null;null
277;2020-11-23T17:54:31+01:00;null;null;null;null;null;null;null
278;2020-11-23T17:54:32+01:00;null;null;null;null;null;null;null
279;2020-11-23T17:54:33+01:00;null;null;null;null;null;null;null
280;2020-11-23T17:54:34+01:00;null;null;null;null;null;0.119;null
281;2020-11-23T17:54:35+01:00;null;null;null;null;null;0.097;null
282;2020-11-23T17:54:36+01:00;null;null;null;null;null;0.081;null
283;2020-11-23T17:54:37+01:00;null;null;null;null;null;null;null
284;2020-11-23T17:54:38+01:00;null;null;null;null;null;0.078;null
285;2020-11-23T17:54:39+01:00;null;null;null;null;null;0.079;null
